9252315,d,3,b,1,f,8,twelve
111600381,d,4,e,3,g,2,seven
26708819,d,1,b,2,a,2,draw
158336885,d,4,h,2,e,2,ten
135648073,c,2,c,5,f,2,ten
82157345,c,1,f,4,e,2,twelve
220859049,d,2,e,7,g,6,eleven
133978401,c,2,g,5,c,5,fourteen
255616245,d,3,b,3,b,5,thirteen
176619591,a,1,d,6,g,4,sixteen
131847667,b,1,g,7,d,5,fifteen
254208667,d,4,e,3,b,2,eight
31587163,c,2,c,7,g,4,thirteen
137257375,c,2,c,8,f,1,eight
14237865,d,2,g,4,a,3,five
9214868,d,3,h,4,f,4,twelve
220415487,c,2,d,8,g,7,thirteen
23565616,c,3,a,3,g,3,twelve
27231000,c,1,h,3,b,7,thirteen
207451174,d,4,c,8,h,1,seven
230435382,d,3,c,8,d,7,draw
259364140,c,1,h,3,c,7,fourteen
121260862,d,2,d,3,f,2,five
236859960,a,1,a,6,g,4,fifteen
176794447,b,1,c,7,d,2,fifteen
22825423,a,1,b,4,d,1,thirteen
202330369,d,1,f,5,b,8,fourteen
177814113,d,2,a,4,d,8,twelve
182381620,d,3,f,5,b,2,six
114027576,d,3,e,8,h,1,six
196175921,d,3,c,1,h,8,eleven
23036129,c,2,a,8,e,2,ten
92721617,d,4,g,1,h,4,seven
144066392,c,2,b,6,d,4,fourteen
230561706,b,2,c,8,h,1,nine
12311335,d,1,h,2,f,1,six
93543117,d,4,e,5,b,2,eight
89258832,d,4,a,1,f,6,eleven
110072565,c,2,e,2,c,6,twelve
209230916,d,4,f,3,a,1,seven
255408933,d,2,f,6,h,7,ten
17347447,d,2,c,7,b,4,ten
77701747,d,3,f,1,c,5,twelve
121241338,d,4,f,5,c,1,eight
237877969,a,1,f,2,g,3,draw
191065147,c,3,d,2,h,2,nine
156959442,d,3,d,1,h,4,eleven
93833688,c,1,b,2,f,7,fourteen
150657229,a,1,c,3,h,5,fifteen
155544297,d,4,h,5,g,3,eleven
18258794,c,1,h,3,e,4,fourteen
246863782,c,1,b,3,h,2,seven
93681608,c,1,d,6,f,6,fifteen
42592235,d,3,e,7,h,8,eight
219640678,c,1,e,6,a,6,fourteen
65218199,d,2,c,6,c,8,twelve
70361695,b,1,e,3,h,8,thirteen
81436670,b,1,e,4,f,5,draw
226546427,c,2,e,4,b,6,twelve
266973065,d,1,b,5,f,6,thirteen
52599080,d,2,a,4,f,8,twelve
262147913,c,1,g,6,h,5,draw
220309864,b,2,h,4,f,1,ten
24086367,d,4,c,4,d,2,nine
144472204,b,1,d,8,a,4,eleven
33911243,d,3,g,4,d,6,twelve
223871274,c,1,b,8,b,4,thirteen
43837945,d,4,d,2,f,5,eleven
151953322,d,2,c,5,b,7,nine
193013558,c,1,f,3,c,8,fourteen
42800460,c,1,d,8,a,3,twelve
10083171,d,3,g,8,h,1,five
22076412,c,1,d,4,c,8,eleven
157577735,d,2,h,6,f,5,fourteen
131689740,d,1,g,1,b,7,fourteen
148816678,d,3,b,3,h,8,eleven
143515935,d,2,h,8,c,6,thirteen
67568567,c,2,g,2,g,6,thirteen
132057157,d,3,a,6,d,5,twelve
162956517,d,1,b,7,a,6,draw
115069580,a,1,g,6,h,7,draw
89201292,a,1,f,3,g,2,draw
147300397,d,2,f,3,h,3,ten
32635828,c,2,f,4,b,4,thirteen
119875248,d,1,e,8,h,3,twelve
140170546,d,2,f,3,g,5,ten
157714210,d,2,d,8,h,8,twelve
64559432,c,1,h,5,d,7,thirteen
7528547,c,1,f,2,b,4,fourteen
34143114,c,2,f,5,d,6,thirteen
122940508,c,1,d,1,d,5,fifteen
145699156,a,1,e,7,g,4,fifteen
47978500,d,2,b,2,h,1,six
109386429,d,1,c,7,h,3,twelve
238429012,c,1,h,1,b,6,thirteen
210992477,c,2,a,4,g,4,thirteen
73668112,d,2,a,6,d,6,thirteen
155464774,d,3,f,1,h,8,nine
142753100,a,1,c,2,f,1,seven
42078026,c,1,a,6,f,5,fourteen
203097657,d,2,h,7,g,7,draw
47381844,c,2,b,7,c,4,fourteen
154815414,b,1,c,1,a,3,ten
244918963,c,1,c,3,h,3,thirteen
143563948,b,1,a,3,c,3,fifteen
96836978,b,1,c,4,h,1,nine
124878427,b,1,g,8,e,3,fifteen
116102615,c,2,g,6,e,6,fourteen
196864108,c,2,a,7,g,3,twelve
95739145,d,1,c,2,e,8,fourteen
67778895,c,2,f,4,h,8,ten
185544598,b,1,b,3,d,2,eight
255221707,d,1,g,4,f,3,draw
33536643,c,1,f,6,h,3,twelve
187254643,d,3,g,7,f,8,draw
26425822,d,3,e,4,g,2,eight
75159807,c,2,d,7,h,6,thirteen
185945384,d,2,h,6,b,7,eleven
8680326,c,3,g,3,f,3,draw
222325967,a,1,e,5,c,3,fifteen
59096249,d,1,g,1,f,4,fifteen
77549418,c,1,h,5,h,6,draw
253831374,c,3,e,3,g,4,twelve
132111339,b,1,d,6,c,7,draw
104300833,c,1,e,8,d,8,draw
46178496,d,4,h,7,f,4,eleven
84199150,c,3,h,2,e,1,six
88186814,d,3,d,2,a,6,nine
86507810,d,1,a,8,b,6,fourteen
85211786,c,2,g,6,a,8,eleven
78449349,c,1,a,4,b,8,twelve
23629030,c,2,a,6,h,7,eleven
616619,d,2,a,8,b,6,thirteen
29885655,d,1,e,2,c,8,thirteen
113711491,c,2,b,3,c,5,fourteen
218671566,d,1,e,3,h,2,five
169076113,d,4,h,8,e,2,ten
89470470,d,3,f,4,e,7,twelve
167604949,c,1,h,6,d,8,twelve
250840398,b,2,h,6,d,1,ten
163047178,d,3,e,3,a,4,eleven
263682934,c,2,e,5,g,5,twelve
210317403,b,1,h,2,b,6,thirteen
38136540,c,3,f,8,e,3,thirteen
220955713,d,3,h,4,g,7,eleven
229688910,c,1,g,7,b,4,fourteen
52266431,b,2,b,5,e,1,ten
17344503,c,1,e,3,h,4,thirteen
248834916,a,1,f,6,g,2,thirteen
24731817,c,1,f,8,g,6,eleven
233181680,c,2,e,8,a,7,twelve
11148059,d,4,d,5,f,3,nine
108665082,c,1,h,1,b,8,twelve
153490223,d,1,c,5,h,5,thirteen
150463561,d,2,e,6,c,6,fourteen
233275393,c,1,a,4,d,5,fourteen
77932994,d,1,d,7,h,8,eleven
106975460,a,1,g,7,c,2,fourteen
238270467,d,3,e,3,f,1,six
248094028,d,4,h,6,c,2,eight
157613794,b,1,g,8,a,8,thirteen
221825663,a,1,e,2,e,1,draw
611816,c,2,c,5,b,6,draw
93526017,d,2,e,4,b,2,five
184021885,d,1,e,5,a,4,ten
181407804,c,1,f,3,a,5,thirteen
